num of agents,sum of costs,weights,runtime,cost lowerbound,sum of distances,MAPF algorithm
8,200994,"",31.9701,178838,178838,PP
8,200993,"",32.0485,178838,178838,PP
8,200985,"",32.1387,178838,178838,PP
8,200882,"",32.2226,178838,178838,PP
8,200844,"",32.308,178838,178838,PP
8,200829,"",32.3869,178838,178838,PP
8,200690,"",32.4686,178838,178838,PP
8,200618,"",32.5504,178838,178838,PP
8,200589,"",32.6324,178838,178838,PP
8,200482,"",32.7178,178838,178838,PP
8,200482,"",32.7926,178838,178838,PP
8,200355,"",32.8683,178838,178838,PP
8,200339,"",32.9449,178838,178838,PP
8,200323,"",33.0221,178838,178838,PP
8,200323,"",33.1012,178838,178838,PP
8,200150,"",33.1925,178838,178838,PP
8,200033,"",33.2801,178838,178838,PP
8,199960,"",33.3642,178838,178838,PP
8,199883,"",33.4416,178838,178838,PP
8,199856,"",33.5229,178838,178838,PP
8,199662,"",33.6089,178838,178838,PP
8,199662,"",33.6944,178838,178838,PP
8,199654,"",33.7749,178838,178838,PP
8,199640,"",33.853,178838,178838,PP
8,199613,"",33.9342,178838,178838,PP
8,199597,"",34.0258,178838,178838,PP
8,199533,"",34.1121,178838,178838,PP
8,199530,"",34.1887,178838,178838,PP
8,199530,"",34.2658,178838,178838,PP
8,199530,"",34.3443,178838,178838,PP
8,199478,"",34.427,178838,178838,PP
8,199466,"",34.5086,178838,178838,PP
8,199466,"",34.5913,178838,178838,PP
8,199397,"",34.6711,178838,178838,PP
8,199397,"",34.7456,178838,178838,PP
8,199378,"",34.8321,178838,178838,PP
8,199377,"",34.9168,178838,178838,PP
8,199377,"",35.002,178838,178838,PP
8,199377,"",35.081,178838,178838,PP
8,199365,"",35.1629,178838,178838,PP
8,199333,"",35.2347,178838,178838,PP
8,199296,"",35.3066,178838,178838,PP
8,199292,"",35.3931,178838,178838,PP
8,199285,"",35.4749,178838,178838,PP
8,199120,"",35.5545,178838,178838,PP
8,199040,"",35.6283,178838,178838,PP
8,199040,"",35.7149,178838,178838,PP
8,198962,"",35.7948,178838,178838,PP
8,198927,"",35.881,178838,178838,PP
8,198924,"",35.9593,178838,178838,PP
8,198910,"",36.0379,178838,178838,PP
8,198824,"",36.1127,178838,178838,PP
8,198816,"",36.2002,178838,178838,PP
8,198768,"",36.282,178838,178838,PP
8,198768,"",36.3564,178838,178838,PP
8,198763,"",36.4322,178838,178838,PP
8,198717,"",36.5079,178838,178838,PP
8,198683,"",36.5811,178838,178838,PP
8,198638,"",36.6608,178838,178838,PP
8,198632,"",36.7353,178838,178838,PP
8,198632,"",36.8192,178838,178838,PP
8,198619,"",36.9085,178838,178838,PP
8,198612,"",36.9872,178838,178838,PP
8,198586,"",37.0708,178838,178838,PP
8,198461,"",37.1515,178838,178838,PP
8,198451,"",37.2276,178838,178838,PP
8,198450,"",37.3045,178838,178838,PP
8,198450,"",37.3787,178838,178838,PP
8,198398,"",37.4615,178838,178838,PP
8,198334,"",37.5436,178838,178838,PP
8,198302,"",37.622,178838,178838,PP
8,198291,"",37.7007,178838,178838,PP
8,198261,"",37.7794,178838,178838,PP
8,198210,"",37.8542,178838,178838,PP
8,198193,"",37.9483,178838,178838,PP
8,198125,"",38.0394,178838,178838,PP
8,198012,"",38.1283,178838,178838,PP
8,197938,"",38.2058,178838,178838,PP
8,197938,"",38.2784,178838,178838,PP
8,197932,"",38.3533,178838,178838,PP
8,197915,"",38.4718,178838,178838,PP
8,197904,"",38.5551,178838,178838,PP
8,197896,"",38.6307,178838,178838,PP
8,197752,"",38.7032,178838,178838,PP
